,Checked,Name,Formula,Annotation Source: Predicted Compositions,FISh Coverage,Molecular Weight,RT [min],Area (Max.),# Usable QC,RSD QC Areas [%],RSD Corr. QC Areas [%],MS2,Norm. Area: A8_arabica_Colombia_A.raw (F22),Norm. Area: A8_arabica_Colombia_B.raw (F23),Norm. Area: A8_arabica_Colombia_C.raw (F24),Norm. Area: A43__arabica_Ethiopia_B.raw (F127),Norm. Area: A43__arabica_Ethiopia_C.raw (F128),Norm. Area: A43_arabica_Ethiopia_A.raw (F129),Norm. Area: A44_arabica_Ethiopia_A.raw (F130),Norm. Area: A44_arabica_Ethiopia_B.raw (F131),Norm. Area: A44_arabica_Ethiopia_C.raw (F132),Norm. Area: A45__arabica_Ethiopia_C.raw (F133),Norm. Area: A45_arabica_Ethiopia_A.raw (F134),Norm. Area: A45_arabica_Ethiopia_B.raw (F135),Norm. Area: A46_arabica_Ethiopia_A.raw (F136),Norm. Area: A46_arabica_Ethiopia_B.raw (F137),Norm. Area: A46_arabica_Ethiopia_C.raw (F138),Norm. Area: A50_arabica_Ethiopia_A.raw (F148),Norm. Area: A50_arabica_Ethiopia_B.raw (F149),Norm. Area: A50_arabica_Ethiopia_C.raw (F150),Norm. Area: A52__arabica_Indonesia_A.raw (F154),Norm. Area: A52_arabica_Indonesia_B.raw (F155),Norm. Area: A52_arabica_Indonesia_C.raw (F156),Norm. Area: A53_arabica_Colombia_A.raw (F157),Norm. Area: A53_arabica_Colombia_B.raw (F158),Norm. Area: A53_arabica_Colombia_C.raw (F159),Norm. Area: A54_arabica_Rwanda_A.raw (F160),Norm. Area: A54_arabica_Rwanda_B.raw (F161),Norm. Area: A54_arabica_Rwanda_C.raw (F162),Norm. Area: A55_arabica_ElSalvador_A.raw (F163),Norm. Area: A55_arabica_ElSalvador_B.raw (F164),Norm. Area: A55_arabica_ElSalvador_C.raw (F165),Norm. Area: A70_arabica_Brazil_A.raw (F208),Norm. Area: A70_arabica_Brazil_B.raw (F209),Norm. Area: A70_arabica_Brazil_C.raw (F210),Norm. Area: A40_canephora_Vietnam_A.raw (F118),Norm. Area: A40_canephora_Vietnam_B.raw (F119),Norm. Area: A40_canephora_Vietnam_C.raw (F120),Norm. Area: A41_canephora_Brazil_A.raw (F121),Norm. Area: A41_canephora_Brazil_B.raw (F122),Norm. Area: A41_canephora_Brazil_C.raw (F123),Norm. Area: A42_canephora_Indonesia_A.raw (F124),Norm. Area: A42_canephora_Indonesia_B.raw (F125),Norm. Area: A42_canephora_Indonesia_C.raw (F126),Norm. Area: A64_canephora_Rwanda_A.raw (F190),Norm. Area: A64_canephora_Rwanda_B.raw (F191),Norm. Area: A64_canephora_Rwanda_C.raw (F192),Norm. Area: A69_canephora_India_A.raw (F205),Norm. Area: A69_canephora_India_B.raw (F206),Norm. Area: A69_canephora_India_C.raw (F207),Norm. Area: A76_canephora_India_A.raw (F226),Norm. Area: A76_canephora_India_B.raw (F227),Norm. Area: A76_canephora_India_C.raw (F228),Norm. Area: A78_canephora_Indonesia_A.raw (F232),Norm. Area: A78_canephora_Indonesia_B.raw (F233),Norm. Area: A78_canephora_Indonesia_C.raw (F234),Norm. Area: Blank_process.raw (F331),Norm. Area: Blank_process_2.raw (F332),Norm. Area: QC_1.raw (F334),Norm. Area: QC_2.raw (F335),Norm. Area: QC_3.raw (F336),Norm. Area: QC_4.raw (F337),Norm. Area: QC_5.raw (F338),Norm. Area: QC_6.raw (F339),Norm. Area: QC_7.raw (F340),Norm. Area: QC_8.raw (F341),Norm. Area: QC_9.raw (F342),Norm. Area: QC1_01.raw (F343),Norm. Area: QC1_02.raw (F344),Norm. Area: QC1_03.raw (F345),Norm. Area: QC1_04.raw (F346),Norm. Area: QC1_05.raw (F347),Norm. Area: QC2_01.raw (F348),Norm. Area: QC2_02.raw (F349),Norm. Area: QC2_03.raw (F350),Norm. Area: QC2_04.raw (F351),Norm. Area: QC2_05.raw (F352),Norm. Area: QC3_01.raw (F353),Norm. Area: QC3_02.raw (F354),Norm. Area: QC3_03.raw (F355),Norm. Area: QC3_04.raw (F356),Norm. Area: QC4_01.raw (F357),Norm. Area: QC4_02.raw (F358),Norm. Area: QC4_03.raw (F359),Norm. Area: QC4_04.raw (F360),Norm. Area: QC5_01.raw (F361),Norm. Area: QC5_02.raw (F362),Norm. Area: QC5_03.raw (F363),Norm. Area: QC5_04.raw (F364),Norm. Area: QC6_01.raw (F365),Norm. Area: QC6_02.raw (F366),Norm. Area: QC6_03.raw (F367),Norm. Area: QC6_04.raw (F368),Norm. Area: QC7_01.raw (F369),Norm. Area: QC7_02.raw (F370),Norm. Area: QC7_03.raw (F371),Norm. Area: QC7_04.raw (F372),Norm. Area: QC8_01.raw (F373),Norm. Area: QC8_02.raw (F374),Norm. Area: QC8_03.raw (F375),Norm. Area: QC8_04.raw (F376),Norm. Area: QC9_01.raw (F377),Norm. Area: QC9_02.raw (F378),Norm. Area: QC9_03.raw (F379),Norm. Area: QC9_04.raw (F380),Norm. Area: System_Blank_01.raw (F381),Norm. Area: System_Blank_02.raw (F382),Norm. Area: A56_stenophylla_SierraLeone_A.raw (F166),Norm. Area: A56_stenophylla_SierraLeone_B.raw (F167),Norm. Area: A56_stenophylla_SierraLeone_C.raw (F168),Norm. Area: A57_stenophylla_SierraLeone_A.raw (F169),Norm. Area: A57_stenophylla_SierraLeone_B.raw (F170),Norm. Area: A57_stenophylla_SierraLeone_C.raw (F171),Norm. Area: A58_stenophylla_SierraLeone_A.raw (F172),Norm. Area: A58_stenophylla_SierraLeone_B.raw (F173),Norm. Area: A58_stenophylla_SierraLeone_C.raw (F174),Norm. Area: A59_stenophylla_SierraLeone_A.raw (F175),Norm. Area: A59_stenophylla_SierraLeone_B.raw (F176),Norm. Area: A59_stenophylla_SierraLeone_C.raw (F177),Norm. Area: A60_stenophylla_SierraLeone_A.raw (F178),Norm. Area: A60_stenophylla_SierraLeone_B.raw (F179),Norm. Area: A60_stenophylla_SierraLeone_C.raw (F180),Norm. Area: A61_stenophylla_SierraLeone_A.raw (F181),Norm. Area: A61_stenophylla_SierraLeone_B.raw (F182),Norm. Area: A61_stenophylla_SierraLeone_C.raw (F183),Norm. Area: A62_stenophylla_SierraLeone_A.raw (F184),Norm. Area: A62_stenophylla_SierraLeone_B.raw (F185),Norm. Area: A62_stenophylla_SierraLeone_C.raw (F186),Group Area: arabica,Group Area: canephora,Group Area: stenophylla,Group CV [%]: arabica,Group CV [%]: canephora,Group CV [%]: stenophylla,Ratio: (canephora) / (arabica),Ratio: (stenophylla) / (arabica),Ratio: (stenophylla) / (canephora),Log2 Fold Change: (canephora) / (arabica),Log2 Fold Change: (stenophylla) / (arabica),Log2 Fold Change: (stenophylla) / (canephora),P-value: (canephora) / (arabica),P-value: (stenophylla) / (arabica),P-value: (stenophylla) / (canephora),Adj. P-value: (canephora) / (arabica),Adj. P-value: (stenophylla) / (arabica),Adj. P-value: (stenophylla) / (canephora),comp_id
count,2979,0.0,2801,2979,0.0,2979.0,2979.0,2979.0,2979.0,2979.0,2979.0,2979,2979.0,2979.0,2979.0,2979.0,2979.0,2979.0,2979.0,2979.0,2979.0,2979.0,2979.0,2979.0,2979.0,2979.0,2979.0,2979.0,2979.0,2979.0,2979.0,2979.0,2979.0,2979.0,2979.0,2979.0,2979.0,2979.0,2979.0,2979.0,2979.0,2979.0,2979.0,2979.0,2979.0,2979.0,2979.0,2979.0,2979.0,2979.0,2979.0,2979.0,2979.0,2979.0,2979.0,2979.0,2979.0,2979.0,2979.0,2979.0,2979.0,2979.0,2979.0,2979.0,2979.0,2979.0,2979.0,2979.0,2979.0,2979.0,2979.0,2979.0,2979.0,2979.0,2979.0,2979.0,2979.0,2979.0,2979.0,2979.0,2979.0,2979.0,2979.0,2979.0,2979.0,2979.0,2979.0,2979.0,2979.0,2979.0,2979.0,2979.0,2979.0,2979.0,2979.0,2979.0,2979.0,2979.0,2979.0,2979.0,2979.0,2979.0,2979.0,2979.0,2979.0,2979.0,2979.0,2979.0,2979.0,2979.0,2979.0,2979.0,2979.0,2979.0,2979.0,2979.0,2979.0,2979.0,2979.0,2979.0,2979.0,2979.0,2979.0,2979.0,2979.0,2979.0,2979.0,2979.0,2979.0,2979.0,2979.0,2979.0,2979.0,2979.0,2979.0,2979.0,2979.0,2979.0,2979.0,2979.0,2979.0,2979.0,2979.0,2979.0,2979.0,2979.0,2979.0,2979.0,2979.0,2979.0,2979.0,2979.0,2979.0,2979.0,2979.0,2979.0,2979
unique,1,,2339,3,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2979
top,False,,C11 H10 O3,Full match,,,,,,,,DDA for preferred ion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,comp0
freq,2979,,13,2684,,,,,,,,2464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
mean,,,,,,468.02821221886535,25.80183282980866,37750384.161728606,46.245384357166834,19.884860691507217,11.833165491775764,,7545617.665391095,6587617.969541508,7217640.300985827,14490181.560207874,15342894.348714972,12237226.629584938,14567926.492363496,13357213.602665884,14912159.592816077,9381735.281565294,14818215.629053215,17287668.499158207,13522380.52376148,14869412.933081137,14733562.964795277,9503559.968638733,7718264.454045767,8826628.418041846,8925181.106631137,9131008.02841223,9823806.360481158,7425264.805487183,7722637.46372216,8447415.76847889,8518817.856971283,8624076.247091372,8146436.269650056,8690600.726477595,8011599.698995774,7459405.253287199,8135839.321939587,7846345.790254059,8395101.346297342,19256603.953101736,17414965.765880946,17149488.509612735,20016444.906810064,19488361.97023997,17288716.540433515,18141312.89617457,16331325.218571104,18307054.940346196,12491311.604122013,10637580.812289923,11842821.532838333,10656366.40613804,8797052.59158875,12768707.308217125,9687920.749182502,10057400.750539219,11266492.195161464,10864966.73338183,9713958.24937785,10747093.47326251,59087.903128479564,63728.34377935924,10503764.076759098,10502927.263760412,10482584.418300653,10781192.74870533,10301331.77445873,10242060.31865387,11135842.624741204,10549963.249302886,11337423.586937334,10203420.838847563,10475097.840622475,10786344.015171692,10579884.671430122,10821061.569842769,10107238.472398348,11231756.088137537,10994801.059345985,10685941.367654538,10786008.116607599,10227661.008944452,9876259.043253785,10471002.448421037,10463981.263428943,10627807.95890846,10735615.269070938,10030807.296730917,10682046.813891562,11059028.30714416,10820142.127508815,10960232.506005762,11111937.744598301,10518939.674412042,10935809.339821173,10789517.677886007,10219131.929504158,10495245.598512502,10228085.904056124,10702002.537140636,10825391.093050644,10809912.500104062,10411983.804861315,10484366.602958947,10564807.451362103,10522462.318099154,10543861.314034207,10772143.627327671,10384794.356025532,50898.620716811645,51176.35206275949,10206756.578195356,9446417.413841173,10124466.59474825,9078271.28896061,8981765.929569485,8997859.158730272,8326750.772619045,8925456.97094315,9473213.92511774,9535406.38192766,10864275.178979974,9225538.11833361,8031503.20533675,8338444.056516814,8974919.981351705,9473369.481446372,9391916.974867051,8540830.446817027,8407025.560894355,8634296.594319846,9416573.291049324,9280936.644972129,12360143.647427997,8941854.320081625,79.00336154286818,91.82174027430236,55.40580766156614,3.16716918429003,5.04762571332662,14.381330647868412,-0.139983215844243,-0.5519268210808996,-0.4119503188989594,0.15122416549806403,0.19876645994321773,0.14964896306695333,0.17041118654178616,0.23072179510846683,0.16634205575375288,
std,,,,,,222.0873544316372,21.311127485346525,183811161.0448298,2.7707107676785694,5.863900420834445,4.426175394897695,,58888540.471022785,51827057.63578849,55873619.33146054,103546879.97530112,114983595.906486,81429343.86222935,118569553.69300592,98277223.70316987,117388158.53496249,72044361.07400618,107092255.64193827,131337654.0359453,101351254.82021792,109028401.24683926,110172661.15625526,76013089.24342872,58931437.11373552,71974175.1795535,65670046.747435115,68471976.65950124,70975511.00868201,58773105.7285729,59840003.16187807,66606164.94036862,67577577.53068691,65039195.230640255,59416627.84167952,68862704.50109206,61148265.819132164,60079296.674348086,61483838.021932416,58612330.23820691,63208564.53442631,143675388.2966011,131716958.80556686,134201303.873011,156540166.20988512,140759293.23291114,126098905.43604212,131155895.36685105,130709871.82776937,130921605.09828448,98904490.03216255,78952039.75766769,88279611.44613692,82199299.04957137,72270602.84149538,90907708.87634146,75966123.43339741,88555761.99973437,84427246.19904885,89840614.72551408,79235650.77803983,89060723.29482302,231613.77089441783,469475.38061010005,76457119.63399547,78104064.37331596,72693840.2528178,74693814.43965864,72268641.61866203,75949305.41518001,76280748.2824907,76728579.90877503,82029678.38481,75407927.32854444,73673103.77987334,73653106.46197583,75570556.30618235,76872574.95894979,70110030.68036784,82354800.70310742,82458497.43536519,78145759.10449606,76739196.7114421,76154665.53061669,70903294.41990907,75177444.69741528,73732520.5604298,76335643.56045417,74517748.73673798,73594851.74439418,78037111.9202708,79738860.77427325,77176466.94544594,76037095.00166917,75973564.41542295,72913444.95629498,79075856.20313743,75243770.69169311,74115287.99139091,74115210.5233002,74278238.06930816,78034487.34405532,76727179.79567571,78264997.97973454,76110519.72756423,74460493.15280007,75807743.88696967,74806568.09976213,73193746.82778217,76608422.38986634,73846084.77511078,93065.71484498527,97828.45977725716,79489575.3955039,67847560.53906381,70011799.44787118,71164914.15955064,68015048.37880029,65991406.31584129,63850034.93802456,72424264.77335525,73569514.62511645,68990608.8349811,74893094.65482607,69360612.96324797,63527501.581214786,61608140.69411487,64858027.21191936,78254215.12583096,69056369.03069513,64216580.667937845,64888122.31860918,65207406.73861589,74362056.76563008,69927570.32677254,98441216.06159812,66991740.46654556,43.38985773268318,65.04355016426608,51.65570543503766,6.949115232315432,34.6317306708523,76.13313852119244,2.614318499207609,2.4054388465186203,3.2352342347361596,0.2857289471845007,0.3242278850224601,0.2985788527427302,0.30670975810703166,0.35421375024457286,0.31988455245235153,
min,,,,,,126.03193,1.287,750145.596633007,24.0,5.0,2.0,,8047.88233137519,9838.10831408541,9010.12326899381,9482.69260288056,10959.5495428748,12628.1486771357,8972.57696356176,12928.7485195711,9651.12390298034,6876.13854120696,13015.6055178376,15412.0359099813,9948.46409043602,10280.9139296438,9774.67987249124,8689.35120350741,12077.3706506744,6963.13876689818,9656.13732332659,11178.4521860582,10095.6926943398,11479.2309123302,7974.21579347567,9418.39340104224,10453.5958458672,9311.46095898003,9454.12824526484,9950.63016857399,10182.4929617749,9615.3155512984,10246.1027805327,13723.1924148702,10749.0607584282,10515.0623086906,10236.0154740433,10305.5998580709,12894.6481362911,11354.52749502,12137.019062973,11528.3949526914,8168.20109101954,9520.02889016061,10994.387672928,12038.0818231593,11423.6582430829,10625.3054246587,9718.92897333463,11054.6175458506,9826.69124696285,8107.06145052671,9570.11576344436,9063.93195386414,9653.82851468666,9655.10571641705,6847.21267353508,5806.89603869087,18692.894217824,21347.5664498023,22640.0750851119,22947.7455583528,20586.1650740724,24169.892873996,22662.6389419517,19057.6702139136,24383.6716882946,19748.1095512721,18205.2760961161,22729.529237062,18058.6941804192,28041.4161670791,27613.8862839696,24947.6414186754,22254.9482731613,18750.6572431276,10941.7869892361,23029.8653700777,13292.1148299984,29231.5150350924,27682.1541292734,19976.2207080226,24331.6592442174,23357.9148771441,20277.683214924,26378.4003916213,26562.8910584301,25265.978060721,15079.066042336,27446.5747649658,22424.6410465412,29217.031670396,10461.8084917292,25108.029855978,20403.3182335734,18810.0685411998,27317.1267512242,28661.4866411631,23491.1772764724,24342.2035674112,19297.6700556869,29552.951527988,29935.496219013,23255.0648898185,25842.8680539593,6120.34260530173,6181.6603165519,9701.95883450253,9742.1589338515,6694.87032206007,10290.3687661397,7194.24691354308,8222.11791539825,7550.5746920119,6985.23602076204,7537.8032798329,6724.64095250596,7997.52279143051,10296.0367266119,9693.50829609766,9855.75116117374,7580.3400492965,8955.31856723296,7942.10775751763,5971.44825170374,9341.60144339354,8065.91403544201,9288.66838968524,12320.2088631644,11459.3567801904,10224.7903947843,5.92899420948587,4.0514727332735,4.91439570355106,0.001,0.001,0.0,-9.45,-10.72,-11.75,1e-15,1e-15,1e-15,3.62617924528302e-15,4.11096256684492e-15,2.70925110132159e-15,
25%,,,,,,325.116915,7.204000000000001,2858501.5793364104,47.0,15.0,8.0,,97098.48672214296,74524.23174767445,86049.8555598102,178968.217888646,288355.3322217695,228749.2982600865,219259.79167064402,233912.43737722898,194395.7643140105,140935.90708024998,206512.98721053102,279019.361479986,201590.171107129,270164.19244940754,264169.96130860003,113973.0421848555,98487.55982148231,112489.6904387325,77287.03211694745,72595.7042780713,90549.07550084329,73245.92579406456,80227.06087063454,88652.71042180696,92283.14640167775,95269.81419078924,80793.2179068324,71024.17897241015,72305.93007408045,64405.180712487796,98986.50307571239,86534.0379683451,98920.49120637625,98403.363580777,123286.6504035805,101010.243460462,117920.2732977385,106058.043288469,105464.7523529805,132371.0958182165,102051.71889157,179431.729861317,67478.04775290455,79483.60038252495,90707.26941199414,52391.1044776123,53318.33891971845,96040.84517150585,57972.26912391095,50194.91569694555,65054.60486263245,66940.53282225184,65246.51549137055,61069.0667909476,23647.521014972197,19022.2091228192,319897.3466926015,318892.594727187,338909.542348573,338558.8127561305,328324.9240692945,326796.74862847046,349460.39945922047,324900.310629878,348098.048808711,332885.5694334095,335759.71917839197,336806.123537011,329932.6390921505,338903.935985764,339525.16467832145,343494.84717009997,323918.9882820915,327197.4129016695,341123.57715817296,325903.154458237,319844.1991665625,325284.97976472345,339665.6747450405,326130.93150846905,340287.1435042235,330702.704225989,332897.7163810925,339667.8933308905,334760.0607168805,348550.5783613955,352724.391997086,332018.88367292704,338241.496133154,349936.7247775635,321215.134436193,334759.17140374146,330600.2900280265,328770.687429097,331203.34925932053,335797.695673912,328022.1481949375,326696.4548802355,324276.19399254,342576.6212335195,336285.68647183396,335216.9985667405,333261.412191675,23203.67932286155,23161.8198105568,67742.8951453925,52610.849039319204,59366.0758186577,47260.5098601717,49353.26153111065,59239.189346785395,57369.99811047805,58686.2481960915,56207.0068278048,55573.31675464075,59153.1202969973,55942.479385107144,47684.861130730744,51508.5679494614,51018.5610538863,52419.76784712085,52277.58696527285,47267.77928066165,51340.65560600495,57479.90849576205,44301.9315385405,131453.544076641,81507.5800755309,52926.40920526525,47.853003614632854,44.496513772349545,24.3735741665073,0.413,0.314,0.199,-1.28,-1.67,-2.33,1e-15,1e-15,1e-15,3.62617924528302e-15,4.11096256684492e-15,2.70925110132159e-15,
50%,,,,,,453.01314,20.749,6216102.29689136,47.0,20.0,11.0,,452957.644171822,375277.79010528,444121.76495173,836932.166487179,1123966.58887934,959106.390196838,1005202.69838011,1060084.890849,943853.132208437,663387.766777301,914354.396783556,1276401.20381401,929373.469020595,1216133.46769707,1159852.09978611,579789.603932662,494150.409092472,516021.07940023,473963.528192473,452733.055657587,499831.227610468,381848.129849663,408576.564176062,495165.056626324,433829.269374851,495017.881827958,458458.90142948,412593.457989797,421609.847984667,365550.614353345,510014.824026778,432268.146809317,506260.207538622,888187.168661038,1101213.89481963,982659.456797439,1157799.71983355,1017843.50725641,953988.616095064,1175142.13100834,849538.140056503,1213598.19473775,556893.817695373,531401.016403199,590725.841039235,409181.382058032,347334.142679186,609093.73712499,453172.12888172,345692.107148014,483516.500612659,436360.599739556,437631.333246577,403051.975827993,32153.638911804,27836.8429766316,896348.198695171,907173.501071778,945045.932991714,937601.157811136,937108.719548515,938892.449200242,1000240.6891699,934494.699722656,985046.387026056,903981.415576004,945969.071143048,983051.825592106,907557.736876301,961095.992142666,941843.375961568,950729.049756586,912294.632970012,934231.595731921,948209.671584019,932682.578397894,896283.403295788,914090.056736248,954149.570514969,915678.827114121,969659.594104529,917288.899423191,932602.459610197,980736.75522533,948975.787976768,971238.509783504,984373.852835802,941266.49411041,939126.670967909,966812.592023728,920320.81950084,941180.580775481,940248.934939857,936512.814839565,970658.869095259,951023.548296079,935002.218608952,936142.274558353,901355.785325968,942293.30619782,957228.329031014,966509.674092397,949758.392570972,32344.4357382591,32228.5833195961,486746.587972769,415850.387461625,469945.212016636,357550.006393872,395713.908191176,425612.637289322,410353.659029257,432458.249256473,434797.774502722,473401.43638153,500828.407962246,377187.359710398,351659.901301223,414698.668490256,407513.002264789,417337.023685622,393468.679417369,353029.320996059,363655.04329919,406612.013400567,360432.062611873,563447.386677481,558162.319172645,392918.451473079,71.811127318251,77.3367207518487,38.5794895613478,1.099,0.739,0.785,0.14,-0.44,-0.35,5.81866515115825e-05,0.00179508858259314,3.86446976197163e-07,0.000120083190200078,0.0036873062067294,7.95930644210501e-07,
75%,,,,,,566.1698,47.8975,16463699.541073099,47.0,25.0,15.0,,1925659.4961348749,1757329.08120692,1940995.5922903,3583405.76929906,4176278.84401194,3712538.463034825,3725123.2039753897,3710858.0568912104,3502348.518413005,2550608.707030745,3826310.8792497646,4443558.90173544,3461824.2489520498,4255116.23386975,4147710.5345082553,2398103.870727825,2044648.3930774052,2172025.27738066,2192745.98455868,2307516.713407735,2377438.47352136,1857388.7599644251,2002287.0492282049,2281077.2238483997,2047801.8219425501,2341450.56884831,2236327.719111695,2125707.5119844796,2072882.583369915,1799501.78849225,2130505.129121435,2060748.105588235,2226519.55007061,4245195.45887079,4322072.28217489,4201503.35157533,4847165.217017155,4719925.55373643,4055286.229577305,4702724.97285419,3584251.4186762897,4738074.453621659,2604961.314714865,2523774.723047635,2720617.2834727904,2166846.8725939803,1766601.49740711,2974189.821474315,2239445.436416975,1935996.540338445,2389547.5930257253,2141704.0394097446,1966549.487746655,1965189.03303255,52118.7872725647,46678.2451144598,2855564.97074909,2975022.74955492,3117042.4864616403,3063637.0073155602,3090311.67716512,2996989.4058937,3283355.417321025,3077524.9498577,3199162.917055735,3033872.11307524,3068064.85350124,3166546.9740235247,2941104.7933731154,3100772.761756675,3040159.3967465954,3190092.09363714,3009744.4972054902,3083967.104855975,3077870.40988228,2959539.979603085,2896974.962576325,2961977.297382905,3043612.687798875,2939118.812290645,3137929.0805691397,2916265.79828096,3050356.289778105,3151074.418993395,3093459.039963895,3173366.472063365,3190670.523985135,3035423.878646245,3168122.817649825,3145117.4768662546,2956183.71254536,3086573.2534223,2995355.51409107,3025197.711134605,3128540.5653748047,3081949.7223978853,3032297.5439934703,3031398.84213494,2991569.7084064,3126405.93987399,3081144.146479375,3109889.4170897948,2990462.6611181097,50874.19241386805,49732.17110138515,2483055.71868019,2281760.11000799,2445632.6225446,2121935.34503883,2197206.843029545,2240957.6496383697,2082114.145320105,2176286.4346993603,2270883.277971165,2454504.93370772,2642963.018675125,2132391.993983345,1872121.50045275,2080655.88378872,2207000.431222135,2136167.1935286103,2247063.716041355,2035433.80311212,2080088.576302835,2154823.69874449,2109448.62771173,2397372.0186293954,2467762.47722522,2086256.84475831,102.34550460948151,120.39467081612949,64.3296168819612,2.7015000000000002,1.1345,1.6505,1.435,0.18,0.72,0.14026835582813452,0.278696874974837,0.0763606596266938,0.191402048569579,0.3785796744806495,0.104148765171236,
